<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Sirjan.Jahan.Steel,20220907,2833.00,2833.00,2705.00,2773.00,9618198696,3529467,2138,D,2781.00,2710.00
Sirjan.Jahan.Steel,20220906,2720.00,2767.00,2719.00,2781.00,5467545277,2000045,709,D,2785.00,2726.00
Sirjan.Jahan.Steel,20220905,2735.00,2793.00,2727.00,2785.00,11745062455,4276395,1063,D,2792.00,2733.00
Sirjan.Jahan.Steel,20220904,2722.00,2778.00,2715.00,2792.00,7921130762,2896080,931,D,2799.00,2733.00
Sirjan.Jahan.Steel,20220903,2780.00,2839.00,2710.00,2799.00,18231226704,6647392,1053,D,2819.00,2735.00
Sirjan.Jahan.Steel,20220831,2781.00,2844.00,2781.00,2819.00,10499467496,3757711,856,D,2823.00,2789.00
Sirjan.Jahan.Steel,20220830,2830.00,2862.00,2786.00,2823.00,11525194181,4086807,822,D,2823.00,2800.00
Sirjan.Jahan.Steel,20220829,2830.00,2845.00,2800.00,2823.00,11759492471,4161484,822,D,2823.00,2840.00
Sirjan.Jahan.Steel,20220828,2781.00,2833.00,2781.00,2823.00,6715758331,2396050,674,D,2825.00,2833.00
Sirjan.Jahan.Steel,20220827,2820.00,2868.00,2800.00,2825.00,12174067118,4293882,1132,D,2823.00,2819.00
Sirjan.Jahan.Steel,20220824,2847.00,2882.00,2781.00,2823.00,13866335203,4909459,1112,D,2823.00,2820.00
Sirjan.Jahan.Steel,20220823,2761.00,2843.00,2760.00,2823.00,10985778725,3911095,1019,D,2825.00,2830.00
Sirjan.Jahan.Steel,20220822,2745.00,2828.00,2745.00,2825.00,6695494144,2402947,811,D,2829.00,2814.00
Sirjan.Jahan.Steel,20220821,2753.00,2828.00,2745.00,2829.00,10483734314,3785041,918,D,2839.00,2780.00
Sirjan.Jahan.Steel,20220820,2790.00,2807.00,2761.00,2839.00,7218549664,2596379,874,D,2846.00,2765.00
Sirjan.Jahan.Steel,20220817,2826.00,2850.00,2782.00,2846.00,6459661386,2305456,858,D,2850.00,2807.00
Sirjan.Jahan.Steel,20220816,2821.00,2880.00,2821.00,2850.00,9684587409,3412934,861,D,2852.00,2833.00
Sirjan.Jahan.Steel,20220815,2802.00,2949.00,2802.00,2852.00,9656256361,3382103,993,D,2851.00,2850.00
Sirjan.Jahan.Steel,20220814,2811.00,2920.00,2793.00,2851.00,12292169511,4309494,1054,D,2851.00,2839.00
Sirjan.Jahan.Steel,20220813,2781.00,2920.00,2781.00,2851.00,12236630681,4257648,1132,D,2846.00,2878.00
Sirjan.Jahan.Steel,20220810,2740.00,2860.00,2740.00,2846.00,12876873289,4593204,999,D,2855.00,2850.00
Sirjan.Jahan.Steel,20220809,2810.00,2840.00,2731.00,2855.00,11114447212,3977268,999,D,2866.00,2781.00
Sirjan.Jahan.Steel,20220806,2779.00,2850.00,2779.00,2866.00,12380809298,4390794,1098,D,2876.00,2829.00
Sirjan.Jahan.Steel,20220803,2838.00,2847.00,2778.00,2876.00,7196476333,2551282,809,D,2882.00,2812.00
Sirjan.Jahan.Steel,20220802,2760.00,2882.00,2752.00,2882.00,10296360217,3669062,1023,D,2895.00,2788.00
Sirjan.Jahan.Steel,20220801,2765.00,2897.00,2765.00,2895.00,7943115931,2823067,841,D,2905.00,2796.00
Sirjan.Jahan.Steel,20220731,2800.00,2860.00,2750.00,2905.00,9471425047,3406241,992,D,2924.00,2789.00
Sirjan.Jahan.Steel,20220730,2811.00,2900.00,2811.00,2924.00,9700103584,3427283,1059,D,2938.00,2819.00
Sirjan.Jahan.Steel,20220727,2811.00,2994.00,2811.00,2938.00,8539979676,2946960,836,D,2943.00,2880.00
Sirjan.Jahan.Steel,20220726,2801.00,2944.00,2801.00,2943.00,22765079231,7911203,1010,D,2972.00,2851.00
Sirjan.Jahan.Steel,20220725,2900.00,2900.00,2820.00,2972.00,9718891851,3424655,922,D,2992.00,2841.00
Sirjan.Jahan.Steel,20220724,2900.00,2970.00,2900.00,2992.00,12252171862,4200449,873,D,3007.00,2903.00
Sirjan.Jahan.Steel,20220723,2940.00,3001.00,2940.00,3007.00,8115926987,2737755,1165,D,3012.00,2952.00
Sirjan.Jahan.Steel,20220720,2915.00,3091.00,2900.00,3012.00,20681494117,6895411,1436,D,3016.00,2983.00
Sirjan.Jahan.Steel,20220719,2885.00,2944.00,2870.00,3016.00,8786249112,3028314,962,D,3031.00,2915.00
Sirjan.Jahan.Steel,20220717,2915.00,2960.00,2886.00,3031.00,9918711444,3417874,1173,D,3051.00,2888.00
Sirjan.Jahan.Steel,20220716,2940.00,3019.00,2922.00,3051.00,8690194757,2957431,1248,D,3065.00,2927.00
Sirjan.Jahan.Steel,20220713,2920.00,3050.00,2920.00,3065.00,12411980577,4152204,1198,D,3079.00,2981.00
Sirjan.Jahan.Steel,20220712,2960.00,3025.00,2916.00,3079.00,13015430287,4384387,1161,D,3101.00,2969.00
Sirjan.Jahan.Steel,20220711,3020.00,3061.00,2953.00,3101.00,15578339440,5206085,1337,D,3128.00,2969.00
Sirjan.Jahan.Steel,20220709,3041.00,3125.00,3010.00,3128.00,13927968170,4589320,1447,D,3148.00,3021.00
Sirjan.Jahan.Steel,20220706,3082.00,3140.00,3045.00,3148.00,9189727960,3005681,1099,D,3160.00,3051.00
Sirjan.Jahan.Steel,20220705,3130.00,3160.00,3088.00,3160.00,12293924297,3961833,1236,D,3170.00,3095.00
Sirjan.Jahan.Steel,20220704,3090.00,3167.00,3080.00,3170.00,19349942760,6216534,1738,D,3188.00,3120.00
Sirjan.Jahan.Steel,20220703,3096.00,3169.00,3075.00,3188.00,15836397349,5082211,1611,D,3206.00,3127.00
Sirjan.Jahan.Steel,20220702,3135.00,3140.00,3080.00,3206.00,12944594808,4177419,1428,D,3227.00,3117.00
Sirjan.Jahan.Steel,20220629,3133.00,3195.00,3128.00,3227.00,12825775822,4078232,1495,D,3242.00,3138.00
Sirjan.Jahan.Steel,20220628,3127.00,3273.00,3120.00,3242.00,24516809820,7588529,1809,D,3246.00,3230.00
Sirjan.Jahan.Steel,20220627,3150.00,3200.00,3127.00,3246.00,17175482108,5458498,1765,D,3273.00,3143.00
Sirjan.Jahan.Steel,20220626,3201.00,3288.00,3127.00,3273.00,33443061847,10472595,2608,D,3326.00,3200.00
Sirjan.Jahan.Steel,20220625,3250.00,3300.00,3204.00,3326.00,32505946539,10055294,2254,D,3385.00,3240.00
Sirjan.Jahan.Steel,20220622,3315.00,3315.00,3260.00,3385.00,19138372308,5840557,2014,D,3416.00,3278.00
Sirjan.Jahan.Steel,20220621,3313.00,3449.00,3300.00,3416.00,21308697825,6428873,2263,D,3449.00,3315.00
Sirjan.Jahan.Steel,20220620,3401.00,3460.00,3266.00,3449.00,22382449364,6593136,1888,D,3467.00,3366.00
Sirjan.Jahan.Steel,20220613,3630.00,3630.00,3570.00,3577.00,60277537200,16711225,2681,D,3524.00,3626.00
Sirjan.Jahan.Steel,20220612,3680.00,3680.00,3530.00,3524.00,33150806771,9271458,2269,D,3495.00,3571.00
Sirjan.Jahan.Steel,20220611,3352.00,3614.00,3352.00,3495.00,63930757055,18102385,3177,D,3410.00,3572.00
Sirjan.Jahan.Steel,20220608,3410.00,3484.00,3410.00,3410.00,20259158242,5870541,1795,D,3398.00,3472.00
Sirjan.Jahan.Steel,20220607,3352.00,3420.00,3350.00,3398.00,23549572671,6928361,1845,D,3397.00,3415.00
Sirjan.Jahan.Steel,20220606,3370.00,3422.00,3350.00,3397.00,51862745918,15263413,2482,D,3397.00,3398.00
