<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
GhadirIranian.Iron,20220620,21050.00,21600.00,21000.00,21150.00,117187027500,5540807,670,D,21250.00,21100.00
GhadirIranian.Iron,20220619,21700.00,21700.00,21150.00,21250.00,106717727150,5017031,561,D,21700.00,21150.00
GhadirIranian.Iron,20220618,21950.00,22000.00,21250.00,21700.00,138204474950,6361978,986,D,21850.00,21300.00
GhadirIranian.Iron,20220615,22100.00,22400.00,21700.00,21850.00,131209463150,5998797,1323,D,21750.00,21950.00
GhadirIranian.Iron,20220614,20750.00,21900.00,20750.00,21750.00,422422088150,19428434,3097,D,20700.00,21900.00
GhadirIranian.Iron,20220613,20700.00,21450.00,20600.00,20700.00,199808186800,9650087,1629,D,20600.00,20750.00
GhadirIranian.Iron,20220612,21200.00,21200.00,20050.00,20600.00,225254516950,10937159,1657,D,20000.00,20650.00
GhadirIranian.Iron,20220606,22400.00,22700.00,21600.00,21700.00,663858889450,30588352,3975,D,22940.00,21600.00
GhadirIranian.Iron,20220601,23090.00,23250.00,22350.00,22940.00,734930983900,32035565,6309,D,23080.00,22520.00
GhadirIranian.Iron,20220531,23080.00,23080.00,22750.00,23080.00,2794500602250,121100606,14742,D,21780.00,23080.00
GhadirIranian.Iron,20220530,21780.00,21780.00,21780.00,21780.00,104544000000,4800000,424,D,20550.00,21780.00
GhadirIranian.Iron,20220529,20860.00,20860.00,20860.00,20550.00,74065516000,3550600,317,D,19680.00,20860.00
GhadirIranian.Iron,20220528,19680.00,19680.00,19680.00,19680.00,95841600000,4870000,568,D,18572.00,19680.00
GhadirIranian.Iron,20220525,25001.00,25001.00,17150.00,18572.00,5571563392622,300000000,467,D,1000.00,17150.00
