<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Sepid.Farab.Kavir,20220905,3830.00,3889.00,3806.00,3871.00,11979391787,3118472,405,D,3885.00,3830.00
Sepid.Farab.Kavir,20220904,3850.00,3900.00,3822.00,3885.00,23175179383,6038458,558,D,3957.00,3830.00
Sepid.Farab.Kavir,20220903,3956.00,3986.00,3837.00,3957.00,10255210951,2647546,388,D,3987.00,3852.00
Sepid.Farab.Kavir,20220831,4037.00,4158.00,3955.00,3987.00,43100434520,10810061,810,D,4163.00,4010.00
Sepid.Farab.Kavir,20220830,4080.00,4220.00,4040.00,4163.00,18139450358,4430596,475,D,4219.00,4051.00
Sepid.Farab.Kavir,20220829,4380.00,4380.00,4102.00,4219.00,39941054258,9462787,608,D,4190.00,4190.00
Sepid.Farab.Kavir,20220828,4198.00,4216.00,4010.00,4190.00,43694498463,10427765,860,D,4016.00,4216.00
Sepid.Farab.Kavir,20220827,4070.00,4099.00,3950.00,4016.00,28644651097,7053330,574,D,3904.00,4099.00
Sepid.Farab.Kavir,20220824,3843.00,3985.00,3788.00,3904.00,32459757982,8267644,636,D,3796.00,3985.00
Sepid.Farab.Kavir,20220823,3790.00,3850.00,3756.00,3796.00,7275220417,1904689,277,D,3790.00,3836.00
Sepid.Farab.Kavir,20220822,3796.00,3837.00,3730.00,3790.00,9650317473,2557241,322,D,3796.00,3751.00
Sepid.Farab.Kavir,20220821,3730.00,3840.00,3730.00,3796.00,12163632798,3214037,271,D,3801.00,3801.00
Sepid.Farab.Kavir,20220820,3850.00,3850.00,3710.00,3801.00,13435690718,3554135,232,D,3813.00,3800.00
Sepid.Farab.Kavir,20220817,3773.00,3837.00,3750.00,3813.00,17280387319,4562844,280,D,3834.00,3773.00
Sepid.Farab.Kavir,20220816,3798.00,3871.00,3790.00,3834.00,23221741034,6082236,373,D,3859.00,3790.00
Sepid.Farab.Kavir,20220815,3780.00,3897.00,3780.00,3859.00,9467685451,2460404,298,D,3862.00,3815.00
Sepid.Farab.Kavir,20220814,3890.00,3920.00,3780.00,3862.00,15088588110,3929680,362,D,3876.00,3830.00
