<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Sabzevar.Steel,20220821,25400.00,26190.00,25170.00,26080.00,7464286180,291796,811,D,26190.00,25300.00
Sabzevar.Steel,20220820,26850.00,26850.00,25350.00,26190.00,14410116070,561746,915,D,26480.00,25430.00
Sabzevar.Steel,20220817,27010.00,27080.00,26140.00,26480.00,14981575140,560417,1085,D,26340.00,26160.00
Sabzevar.Steel,20220816,26600.00,27080.00,26110.00,26340.00,17279874660,646178,1065,D,26070.00,26480.00
Sabzevar.Steel,20220815,26450.00,26760.00,25340.00,26070.00,16334320430,623672,934,D,26000.00,25660.00
Sabzevar.Steel,20220814,25250.00,26800.00,25250.00,26000.00,6912616440,268855,703,D,26060.00,25520.00
Sabzevar.Steel,20220813,24640.00,26590.00,24620.00,26060.00,33047041860,1259005,1309,D,25370.00,26580.00
Sabzevar.Steel,20220810,25000.00,25600.00,24700.00,25370.00,12055403840,482650,791,D,25540.00,24910.00
Sabzevar.Steel,20220809,25130.00,25500.00,25090.00,25540.00,6687548620,264549,575,D,25590.00,25090.00
Sabzevar.Steel,20220806,25550.00,26070.00,25070.00,25590.00,30364531460,1180118,1089,D,25190.00,26020.00
Sabzevar.Steel,20220803,24900.00,25380.00,24810.00,25190.00,23277240090,926449,867,D,25280.00,25270.00
Sabzevar.Steel,20220802,25200.00,25400.00,24860.00,25280.00,12736941680,504403,691,D,25300.00,25180.00
Sabzevar.Steel,20220801,25350.00,25430.00,24850.00,25300.00,28572507450,1129057,834,D,25300.00,25200.00
Sabzevar.Steel,20220731,24840.00,25480.00,24840.00,25300.00,49312189670,1948781,1101,D,25360.00,24870.00
Sabzevar.Steel,20220730,25300.00,25500.00,24810.00,25360.00,27792547520,1096186,1034,D,25360.00,25370.00
Sabzevar.Steel,20220727,24930.00,25550.00,24920.00,25360.00,18071177530,711944,697,D,25350.00,25370.00
Sabzevar.Steel,20220726,25340.00,25470.00,24850.00,25350.00,37857048450,1493545,1022,D,25340.00,25350.00
Sabzevar.Steel,20220725,25480.00,25680.00,24520.00,25340.00,56920525930,2246651,1739,D,25370.00,25180.00
Sabzevar.Steel,20220724,25110.00,25740.00,24510.00,25370.00,34136480410,1343074,1319,D,25110.00,25150.00
Sabzevar.Steel,20220723,24780.00,25340.00,24400.00,25110.00,68548318740,2729700,1589,D,24780.00,25190.00
Sabzevar.Steel,20220720,24310.00,25140.00,24200.00,24780.00,28128176760,1126680,1006,D,24330.00,25070.00
Sabzevar.Steel,20220719,23990.00,24670.00,23960.00,24330.00,33288802030,1364179,1098,D,23940.00,24670.00
Sabzevar.Steel,20220717,23730.00,24140.00,23720.00,23940.00,61107131160,2552704,1533,D,23730.00,23990.00
Sabzevar.Steel,20220716,24370.00,24480.00,23670.00,23730.00,51386443420,2165057,1438,D,24910.00,23670.00
Sabzevar.Steel,20220713,24690.00,25050.00,24410.00,24910.00,13371424430,541978,1232,D,25030.00,24480.00
Sabzevar.Steel,20220712,24540.00,25180.00,24540.00,25030.00,32411150500,1296703,1009,D,25180.00,24680.00
Sabzevar.Steel,20220711,25000.00,25490.00,24580.00,25180.00,47750301200,1896111,1530,D,25460.00,24600.00
Sabzevar.Steel,20220709,25340.00,25650.00,25020.00,25460.00,34745119420,1366402,1425,D,25660.00,25040.00
Sabzevar.Steel,20220706,25610.00,25850.00,25410.00,25660.00,37760887680,1472619,1162,D,25820.00,25430.00
Sabzevar.Steel,20220705,25800.00,25860.00,25600.00,25820.00,34674386020,1343809,1247,D,25880.00,25800.00
Sabzevar.Steel,20220704,25900.00,25990.00,25700.00,25880.00,47443503480,1833331,1395,D,25970.00,25890.00
Sabzevar.Steel,20220703,26000.00,26010.00,25800.00,25970.00,53260439310,2051159,1630,D,25980.00,25950.00
Sabzevar.Steel,20220702,26130.00,26170.00,25430.00,25980.00,91595707450,3525491,1975,D,26140.00,25600.00
Sabzevar.Steel,20220629,26300.00,26330.00,25910.00,26140.00,28493489120,1091592,1540,D,26220.00,25970.00
Sabzevar.Steel,20220628,26270.00,26350.00,25800.00,26220.00,44813619800,1709167,1730,D,26260.00,26290.00
Sabzevar.Steel,20220627,26340.00,26690.00,25270.00,26260.00,78452927790,2987883,1915,D,26540.00,26030.00
Sabzevar.Steel,20220626,26880.00,26970.00,26100.00,26540.00,42660569490,1607557,1448,D,26790.00,26300.00
Sabzevar.Steel,20220625,26700.00,26980.00,26700.00,26790.00,142749330600,5327921,2372,D,26430.00,26880.00
Sabzevar.Steel,20220622,26440.00,26890.00,26100.00,26430.00,91864737140,3475148,683,D,27280.00,26530.00
Sabzevar.Steel,20220615,27150.00,27610.00,26900.00,27280.00,33042998190,1212430,1433,D,27380.00,27250.00
Sabzevar.Steel,20220614,27420.00,27950.00,27150.00,27380.00,75473766250,2756736,1803,D,27670.00,27300.00
Sabzevar.Steel,20220613,27100.00,27910.00,27100.00,27670.00,42334573140,1528519,2174,D,27010.00,27900.00
Sabzevar.Steel,20220612,26990.00,27300.00,26630.00,27010.00,33788762980,1247987,1729,D,26760.00,27230.00
Sabzevar.Steel,20220611,26650.00,27040.00,26150.00,26760.00,57296745990,2140836,1749,D,26650.00,26910.00
Sabzevar.Steel,20220608,26510.00,26870.00,26000.00,26650.00,47076320180,1766156,1570,D,26610.00,26750.00
Sabzevar.Steel,20220607,26500.00,26750.00,26010.00,26610.00,53980960190,2028232,1899,D,26460.00,26730.00
Sabzevar.Steel,20220606,26960.00,27090.00,25860.00,26460.00,69261605330,2617211,2641,D,27090.00,26550.00
Sabzevar.Steel,20220601,27110.00,27150.00,27000.00,27090.00,45717786480,1687890,2012,D,27100.00,27110.00
Sabzevar.Steel,20220531,27140.00,27300.00,27000.00,27100.00,43317597240,1598700,1712,D,27100.00,27040.00
